Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NVDA,NVDA,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-13,246.52999877929688,247.66000366210938,240.25,242.60000610351562,38371800,642.27001953125,642.27001953125,624.0999755859375,631.0900268554688,18030400,258.4781303943212,261.56523797230057,258.148452318208,260.8059387207031,45730800,185.0,188.11000061035156,183.39999389648438,185.80999755859375,160128900,450.20001220703125,451.80999755859375,443.95001220703125,447.20001220703125,53719200,334.95001220703125,340.489990234375,333.6199951171875,335.9700012207031,33517600,474.67999267578125,475.7799987792969,465.95001220703125,470.6700134277344,28545800
2026-01-14,241.14999389648438,241.27999877929688,236.22000122070312,236.64999389648438,41410600,626.5,628.4500122070312,614.8200073242188,615.52001953125,15527900,259.247418118488,261.57525710051715,256.4700180914029,259.71697998046875,40019400,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100,442.80999755859375,443.9100036621094,434.2200012207031,439.20001220703125,57259500,335.05999755859375,336.5199890136719,330.4800109863281,335.8399963378906,28525600,466.4599914550781,468.20001220703125,457.1700134277344,459.3800048828125,28184300
2026-01-15,239.30999755859375,240.64999389648438,236.6300048828125,238.17999267578125,43003600,618.47998046875,624.1699829101562,614.22998046875,620.7999877929688,13076100,260.40631875644857,260.7959687899761,256.8096782083212,257.9685974121094,39388600,186.5,189.6999969482422,186.3300018310547,187.0500030517578,206188600,441.1300048828125,445.3599853515625,437.6499938964844,438.57000732421875,49465800,337.6499938964844,337.69000244140625,330.739990234375,332.7799987792969,28442400,464.1199951171875,464.25,455.8999938964844,456.6600036621094,23225800
2026-01-16,239.08999633789062,239.57000732421875,236.41000366210938,239.1199951171875,45888300,624.1799926757812,629.0800170898438,620.0800170898438,620.25,17012500,257.6589020182799,258.6579671912775,254.69167723491495,255.29112243652344,72142800,189.0800018310547,190.44000244140625,186.0800018310547,186.22999572753906,187967200,439.5,447.25,435.260009765625,437.5,60220600,334.4100036621094,334.6499938964844,327.70001220703125,330.0,40341600,457.8299865722656,463.19000244140625,456.4800109863281,459.8599853515625,34246700
2026-01-20,233.75999450683594,235.08999633789062,229.33999633789062,231.0,47737900,607.8800048828125,611.4000244140625,600.0,604.1199951171875,15169600,252.49373739571587,254.55180921698133,243.19244305608962,246.46937561035156,80267500,181.89999389648438,182.3800048828125,177.61000061035156,178.07000732421875,223345300,429.3599853515625,430.7300109863281,417.44000244140625,419.25,63187300,320.8699951171875,327.7300109863281,320.42999267578125,322.0,35361000,451.2200012207031,456.79998779296875,449.2799987792969,454.5199890136719,26130000
2026-01-21,231.08999633789062,232.3000030517578,226.8800048828125,231.30999755859375,47276100,606.739990234375,618.27001953125,600.0800170898438,612.9600219726562,14494700,248.46750904444812,251.3248360900433,244.9507953165175,247.41848754882812,54641700,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000,421.6600036621094,438.20001220703125,419.6199951171875,431.44000244140625,68124000,320.9200134277344,332.4800109863281,319.3500061035156,328.3800048828125,35386600,452.6000061035156,452.69000244140625,438.67999267578125,444.1099853515625,37980500
2026-01-22,234.0500030517578,235.72000122070312,230.89999389648438,234.33999633789062,31913300,629.3499755859375,660.5700073242188,626.5499877929688,647.6300048828125,21394700,248.96703988447874,250.76536025794266,247.9180183962477,248.1178436279297,39708300,184.75,186.1699981689453,183.92999267578125,184.83999633789062,139636600,435.1600036621094,449.5,432.6300048828125,449.3599853515625,71546700,334.45001220703125,335.1499938964844,328.75,330.5400085449219,26253600,447.6199951171875,452.8399963378906,444.70001220703125,451.1400146484375,25349400
2026-01-23,234.9600067138672,240.4499969482422,234.57000732421875,239.16000366210938,33778500,644.77001953125,666.489990234375,644.4500122070312,658.760009765625,22797700,247.08880782235642,249.17685039145397,244.45126111041233,247.80812072753906,41689000,187.5,189.60000610351562,186.82000732421875,187.6699981689453,142748100,447.42999267578125,452.42999267578125,444.0400085449219,449.05999755859375,56771400,332.489990234375,333.69000244140625,327.45001220703125,327.92999267578125,27280000,451.8699951171875,471.1000061035156,450.5299987792969,465.95001220703125,38000200
